, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
2324,중랑2,중랑, 중랑구 동일로 489,면목초등학교,5 ,40 ,55 ,45 ,"면목 두산 2, 3",구축,1995 ,소단지,344 ,계단식,3 ,2 ,33 ,85000 ,75000 ,53000 ,-12%,,,0.71 ,22000 
311,강북2,강북,강북구 오현로 56,서울송중초,5 ,48 ,52 ,36 ,미아 경남아너스빌,준신축,2003 ,중단지,860 ,계단식,3 ,2 ,33 ,94400 ,76000 ,48000 ,-19%,,,0.63 ,28000 
1299,서대문3,서대문, 서대문구 홍은중앙로 72,서울홍은초,10 ,55 ,40 ,25 ,북한산두산위브,신축,2020 ,소단지,497 ,계단식,3 ,2 ,25 ,0 ,76000 ,43000 ,#DIV/0!,,,0.57 ,33000 
1590,성북3,성북, 성북구 동소문로13길 72,서울돈암초,5~10,45 ,35 ,22 ,한신한진,구축,1998 ,대단지,4509 ,복도식,3 ,1 ,27 ,86000 ,76000 ,45000 ,-12%,,,0.59 ,31000 
1910,양천3,양천, 양천구 신정로13길 7,서울신기초,6 ,52 ,28 ,38 ,신트리1,구축,1999 ,중단지,997 ,복도식,2 ,1 ,21 ,79000 ,76000 ,38000 ,-4%,,,0.50 ,38000 
751,노원2,노원, 노원구 중계로 230,서울을지초,5 ,60 ,70 ,53 ,중계 경남 롯데 상아,구축,1989 ,대단지,1890 ,계단식,3 ,1 ,28 ,89000 ,77000 ,44000 ,-13%,,,0.57 ,33000 
2260,종로4,종로, 종로구 창신6길 21,창신초등학교,5 ,45 ,40 ,20 ,창신쌍용1,구축,1992 ,중단지,585 ,복도식,3 ,1 ,30 ,89700 ,77000 ,50000 ,-14%,,,0.65 ,27000 
678,구로2,구로,구로구 연동로 231,서울항동초,3 ,60 ,45 ,52 ,항동 하버라인3,신축,2019 ,대단지,1170 ,계단식,3 ,2 ,29 ,89500 ,78000 ,48000 ,-13%,,,0.62 ,30000 
679,구로2,구로,구로구 연동로 231,서울항동초,3 ,60 ,45 ,52 ,항동 하버라인3,신축,2019 ,대단지,1170 ,계단식,3 ,2 ,33 ,105000 ,78000 ,46000 ,-26%,,,0.59 ,32000 
767,노원3,노원, 노원구 덕릉로 662,서울중계초,7 ,55 ,65 ,48 ,상계 중계센트럴파크,신축,2016 ,소단지,457 ,계단식,3 ,2 ,24 ,86000 ,78000 ,45000 ,-9%,,,0.58 ,33000 
816,도봉4,도봉, 도봉구 도봉로163길 46,서울오봉초,5 ,62 ,72 ,55 ,도봉 래미안도봉,준신축,2005 ,소단지,448 ,계단식,3 ,2 ,33 ,84000 ,78000 ,45000 ,-7%,,,0.58 ,33000 
2151,은평3,은평, 은평구 백련산로 35,응암초등학교,6 ,63 ,48 ,38 ,응암 백련산힐스테이트1차,준신축,2011 ,대단지,1106 ,계단식,3 ,2 ,25 ,88000 ,78000 ,49000 ,-11%,,,0.63 ,29000 
2166,은평3,은평, 은평구 은평로 250,은평초등학교,3 ,52 ,42 ,25 ,응암 녹번역센트레빌,준신축,2013 ,소단지,350 ,계단식,3 ,2 ,24 ,85700 ,78000 ,48000 ,-9%,,,0.62 ,30000 
683,구로3,구로,구로구 부일로1길 50,서울온수초,5 ,55 ,40 ,45 ,온수 힐스테이트,준신축,2010 ,중단지,999 ,계단식,3 ,2 ,33 ,100000 ,79000 ,51000 ,-21%,,,0.65 ,28000 
747,노원2,노원,노원구 중계로 190,서울원광초,3 ,58 ,68 ,51 ,중계 주공5,구축,1992 ,대단지,2328 ,복도식,2 ,1 ,24 ,89700 ,79000 ,40000 ,-12%,,,0.51 ,39000 
2186,은평4,은평, 은평구 은평로 55,은명초등학교,8 ,55 ,35 ,35 ,신사 응암역효성해링턴플레이스,신축,2019 ,소단지,380 ,계단식,3 ,2 ,25 ,84500 ,79000 ,50000 ,-7%,,,0.63 ,29000 
2315,중랑2,중랑, 중랑구 상봉동 501,상봉초등학교,6 ,45 ,55 ,40 ,상봉 태영데시앙,준신축,2003 ,중단지,582 ,계단식,3 ,2 ,33 ,99000 ,79000 ,50000 ,-20%,,,0.63 ,29000 
